Geography,Date,Weekly Deaths,New Historic Deaths
United States,Jan 11 2023,3907,86
United States,Jan  4 2023,2705,0
United States,Dec 28 2022,2425,0
United States,Dec 21 2022,2982,0
United States,Dec 14 2022,2613,0
United States,Dec  7 2022,2744,273
United States,Nov 30 2022,1769,0
United States,Nov 23 2022,2614,0
United States,Nov 16 2022,2217,0
United States,Nov  9 2022,2304,5
United States,Nov  2 2022,2484,6
United States,Oct 26 2022,2550,557
United States,Oct 19 2022,2526,0
United States,Oct 12 2022,2548,0
United States,Oct  5 2022,3020,0
United States,Sep 28 2022,2906,469
United States,Sep 21 2022,3135,0
United States,Sep 14 2022,3210,0
United States,Sep  7 2022,2931,0
United States,Aug 31 2022,3947,0
United States,Aug 24 2022,3138,0
United States,Aug 17 2022,3245,0
United States,Aug 10 2022,3636,0
United States,Aug  3 2022,3547,0
United States,Jul 27 2022,3167,0
United States,Jul 20 2022,2832,0
United States,Jul 13 2022,2703,0
United States,Jul  6 2022,2371,0
United States,Jun 29 2022,2614,0
United States,Jun 22 2022,2048,0
United States,Jun 15 2022,2185,0
United States,Jun  8 2022,2325,0
United States,Jun  1 2022,2101,0
United States,May 25 2022,2648,0
United States,May 18 2022,2290,0
United States,May 11 2022,2387,0
United States,May  4 2022,2776,0
United States,Apr 27 2022,2937,0
United States,Apr 20 2022,3031,0
United States,Apr 13 2022,3759,0
United States,Apr  6 2022,3845,0
United States,Mar 30 2022,5037,0
United States,Mar 23 2022,5765,0
United States,Mar 16 2022,8089,0
United States,Mar  9 2022,9159,0
United States,Mar  2 2022,10739,0
United States,Feb 23 2022,12653,0
United States,Feb 16 2022,15023,0
United States,Feb  9 2022,16169,0
United States,Feb  2 2022,17351,0
United States,Jan 26 2022,17022,0
United States,Jan 19 2022,14181,0
United States,Jan 12 2022,13114,0
United States,Jan  5 2022,9498,0
United States,Dec 29 2021,10007,0
United States,Dec 22 2021,11710,0
United States,Dec 15 2021,9652,0
United States,Dec  8 2021,8859,2442
United States,Dec  1 2021,7317,0
United States,Nov 24 2021,8089,0
United States,Nov 17 2021,7419,0
United States,Nov 10 2021,8267,0
United States,Nov  3 2021,8499,0
United States,Oct 27 2021,9540,0
United States,Oct 20 2021,11881,0
United States,Oct 13 2021,11190,0
United States,Oct  6 2021,12630,0
United States,Sep 29 2021,13950,0
United States,Sep 22 2021,14372,0
United States,Sep 15 2021,13847,0
United States,Sep  8 2021,10943,0
United States,Sep  1 2021,10197,0
United States,Aug 25 2021,7859,0
United States,Aug 18 2021,6116,0
United States,Aug 11 2021,4868,0
United States,Aug  4 2021,3033,0
United States,Jul 28 2021,2362,0
United States,Jul 21 2021,1969,0
United States,Jul 14 2021,1905,0
United States,Jul  7 2021,1690,0
United States,Jun 30 2021,1906,0
United States,Jun 23 2021,2037,0
United States,Jun 16 2021,2335,0
United States,Jun  9 2021,2764,0
United States,Jun  2 2021,3705,0
United States,May 26 2021,3975,0
United States,May 19 2021,4078,0
United States,May 12 2021,4369,0
United States,May  5 2021,5070,0
United States,Apr 28 2021,5025,0
United States,Apr 21 2021,5051,0
United States,Apr 14 2021,5279,0
United States,Apr  7 2021,7112,0
United States,Mar 31 2021,6324,0
United States,Mar 24 2021,7295,0
United States,Mar 17 2021,7505,0
United States,Mar 10 2021,9819,0
United States,Mar  3 2021,13648,0
United States,Feb 24 2021,13868,0
United States,Feb 17 2021,14361,0
United States,Feb 10 2021,19169,0
United States,Feb  3 2021,21247,0
United States,Jan 27 2021,22525,0
United States,Jan 20 2021,21574,0
United States,Jan 13 2021,23387,0
United States,Jan  6 2021,19377,0
United States,Dec 30 2020,17048,0
United States,Dec 23 2020,19528,0
United States,Dec 16 2020,18687,0
United States,Dec  9 2020,16621,0
United States,Dec  2 2020,12573,0
United States,Nov 25 2020,12563,0
United States,Nov 18 2020,9564,0
United States,Nov 11 2020,8231,0
United States,Nov  4 2020,7134,0
United States,Oct 28 2020,6146,0
United States,Oct 21 2020,5855,0
United States,Oct 14 2020,5302,0
United States,Oct  7 2020,5015,0
United States,Sep 30 2020,5157,0
United States,Sep 23 2020,5433,0
United States,Sep 16 2020,5780,0
United States,Sep  9 2020,5218,0
United States,Sep  2 2020,6105,0
United States,Aug 26 2020,6572,0
United States,Aug 19 2020,7032,0
United States,Aug 12 2020,7325,0
United States,Aug  5 2020,7397,0
United States,Jul 29 2020,7546,0
United States,Jul 22 2020,6105,0
United States,Jul 15 2020,5430,0
United States,Jul  8 2020,4446,0
United States,Jul  1 2020,3851,0
United States,Jun 24 2020,4092,0
United States,Jun 17 2020,4638,0
United States,Jun 10 2020,5105,0
United States,Jun  3 2020,6522,0
United States,May 27 2020,6823,0
United States,May 20 2020,9503,0
United States,May 13 2020,10430,0
United States,May  6 2020,12823,0
United States,Apr 29 2020,13902,0
United States,Apr 22 2020,15449,0
United States,Apr 15 2020,15539,0
United States,Apr  8 2020,12563,0
United States,Apr  1 2020,5092,0
United States,Mar 25 2020,1127,0
United States,Mar 18 2020,127,0
United States,Mar 11 2020,8,0
United States,Mar  4 2020,6,0
United States,Feb 26 2020,0,0
United States,Feb 19 2020,0,0
United States,Feb 12 2020,0,0
United States,Feb  5 2020,0,0
United States,Jan 29 2020,0,0
